event_id,person_id,timestamp,missing_ppe,confidence,category,helmet_before,helmet_at_event,helmet_after,vest_before,vest_at_event,vest_after,violation_frames,evidence_path,reason
cf34b973,5,2026-08-09T23:47:51,"helmet,vest",0.5,TEMPORARY_MISDETECTION,False,False,True,True,False,True,55,outputs/phase3e_positive_validation\evidence/cf34b973.jpg,Brief Reason / Note:
a4cd6cac,9,2026-08-09T23:47:51,vest,0.5,PPE_ASSOCIATION_ERROR,True,False,True,True,False,True,47,outputs/phase3e_positive_validation\evidence/a4cd6cac.jpg,
db02e607,37,2026-08-09T23:47:55,vest,0.5,OCCLUSION,True,False,True,True,False,True,23,outputs/phase3e_positive_validation\evidence/db02e607.jpg,": Another worker in the foreground is partially blocking/overlapping the right side of the main subject's body, while the lower portion is cut off by the camera frame edge."
5aa18bc9,66,2026-08-09T23:47:58,helmet,0.5,PPE_ASSOCIATION_ERROR,True,False,True,True,False,True,55,outputs/phase3e_positive_validation\evidence/5aa18bc9.jpg,The detection algorithm falsely identified a 2D cartoon/poster graphic printed on a background surface as an active human worker.
96d928f7,67,2026-08-09T23:47:58,helmet,0.5,PPE_ASSOCIATION_ERROR,True,False,True,True,False,True,50,outputs/phase3e_positive_validation\evidence/96d928f7.jpg,The bounding box is improperly drawn and only encapsulates the upper portion of the worker's head/helmet rather than the full body.
8775677b,114,2026-08-09T23:48:01,vest,0.5,GENUINE_VIOLATION,True,False,True,True,False,True,47,outputs/phase3e_positive_validation\evidence/8775677b.jpg,"The worker is wearing a hardhat and high-visibility orange vest, but is missing safety glasses/eyewear"
cc8b247b,134,2026-08-09T23:48:02,vest,0.5,OCCLUSION,True,False,True,False,False,False,62,outputs/phase3e_positive_validation\evidence/cc8b247b.jpg,"Another worker/object in the right foreground partially overlaps and blocks the main subject's body, while the image resolution/lighting is low."
56c76bf1,135,2026-08-09T23:48:02,vest,0.5,OCCLUSION,True,False,True,True,False,True,31,outputs/phase3e_positive_validation\evidence/56c76bf1.jpg,"The bounding box captures two overlapping individuals standing closely together, where the person in the left background is partially occluded by the person in the foreground."
75845f7f,145,2026-08-09T23:48:04,helmet,0.5,OCCLUSION,True,False,True,True,False,True,9,outputs/phase3e_positive_validation\evidence/75845f7f.jpg,"The worker's body is cropped heavily on both the right and left sides, and another individual partially blocks the left side of the frame."
3c1b5371,149,2026-08-09T23:48:04,helmet,0.5,GENUINE_VIOLATION,True,False,True,True,False,True,36,outputs/phase3e_positive_validation\evidence/3c1b5371.jpg,"The worker is properly wearing a hardhat and high-visibility vest, but is not wearing safety glasses/eyewear."
a8d9fbdd,156,2026-08-09T23:48:04,helmet,0.5,PPE_ASSOCIATION_ERROR,True,False,True,True,False,True,75,outputs/phase3e_positive_validation\evidence/a8d9fbdd.jpg,The AI detection system generated a false-positive person detection on a 2D poster graphic/illustration printed on the wall instead of a real human worker.
af41475d,155,2026-08-09T23:48:05,"helmet,vest",0.5,GENUINE_VIOLATION,True,False,True,True,False,True,53,outputs/phase3e_positive_validation\evidence/af41475d.jpg,"The worker is fully compliant—wearing a hardhat, safety glasses/eyewear, a high-visibility vest, and protective gloves. Any false violation alert generated on this image is a system false positive."
1082af0b,165,2026-08-09T23:48:06,"helmet,vest",0.5,PPE_ASSOCIATION_ERROR,True,False,True,True,False,True,31,outputs/phase3e_positive_validation\evidence/1082af0b.jpg,
